id,name,alias,description,parent_id,metatitle,metakey,metadesc,published,ordering,params,checked_out,checked_out_time,created,created_by,author
2,HEADSET,headset,,,,,,1,1,"{""theme"":"""",""theme_responsive"":"""",""show_contact_form"":"""",""contact_list"":"""",""price_restrict"":"""",""price_unit"":"""",""thousand_separator"":"""",""decimal_separator"":"""",""decimals"":"""",""unit_side"":"""",""product_catalogue"":"""",""showcatdesc"":"""",""showcatimg"":"""",""showsubcategories"":"""",""showsubcategories_label"":"""",""category_columns"":"""",""category_show_intro"":"""",""category_intro_trunc"":"""",""category_intro_length"":"""",""image_link_subcategory"":"""",""showreadmore_subcategory"":"""",""subcategory_showchildren"":"""",""limit_items_show"":"""",""list_layout"":"""",""show_layout_switch"":"""",""items_columns"":"""",""items_default_order"":"""",""items_default_order_dir"":"""",""items_category_ordering"":"""",""featured_only"":"""",""featured_first"":"""",""show_category_filter"":"""",""category_filter_type"":"""",""show_producer_filter"":"""",""show_price_filter"":"""",""show_search"":"""",""show_atoz_filter"":"""",""atoz_letters"":"""",""atoz_check_available"":"""",""show_category_orderby"":"""",""show_producer_orderby"":"""",""show_name_orderby"":"""",""show_price_orderby"":"""",""show_date_orderby"":"""",""show_item_name"":"""",""show_category_name"":"""",""show_producer_name"":"""",""show_price"":"""",""show_old_price"":"""",""show_author"":"""",""show_hits"":"""",""show_date"":"""",""show_publishdate"":"""",""items_show_attributes"":"""",""items_show_cart_button"":"""",""items_show_intro"":"""",""items_intro_trunc"":"""",""items_intro_length"":"""",""image_link_item"":"""",""showreadmore_item"":"""",""rss_enabled"":"""",""rss_feed_icon"":"""",""rss_limit_items_show"":"""",""rss_items_default_order"":"""",""rss_items_default_order_dir"":"""",""rss_description_type"":"""",""rss_image_link_item"":"""",""rss_showreadmore_item"":"""",""show_image_item"":"""",""show_category_name_item"":"""",""show_producer_name_item"":"""",""show_price_item"":"""",""show_old_price_item"":"""",""show_author_item"":"""",""show_hits_item"":"""",""show_date_item"":"""",""show_publishdate_item"":"""",""items_show_cart_button_item"":"""",""show_intro_desc_item"":"""",""show_navigation"":"""",""related_items_columns"":"""",""related_items_count"":""""}",,"0000-00-00 00:00:00","2014-08-26 08:23:06",584,
7,PEDAL,pedal,,,,,,1,2,"{""theme"":"""",""theme_responsive"":"""",""show_contact_form"":"""",""contact_list"":"""",""price_restrict"":"""",""price_unit"":"""",""thousand_separator"":"""",""decimal_separator"":"""",""decimals"":"""",""unit_side"":"""",""product_catalogue"":"""",""showcatdesc"":"""",""showcatimg"":"""",""showsubcategories"":"""",""showsubcategories_label"":"""",""category_columns"":"""",""category_show_intro"":"""",""category_intro_trunc"":"""",""category_intro_length"":"""",""image_link_subcategory"":"""",""showreadmore_subcategory"":"""",""subcategory_showchildren"":"""",""limit_items_show"":"""",""list_layout"":"""",""show_layout_switch"":"""",""items_columns"":"""",""items_default_order"":"""",""items_default_order_dir"":"""",""items_category_ordering"":"""",""featured_only"":"""",""featured_first"":"""",""show_category_filter"":"""",""category_filter_type"":"""",""show_producer_filter"":"""",""show_price_filter"":"""",""show_search"":"""",""show_atoz_filter"":"""",""atoz_letters"":"""",""atoz_check_available"":"""",""show_category_orderby"":"""",""show_producer_orderby"":"""",""show_name_orderby"":"""",""show_price_orderby"":"""",""show_date_orderby"":"""",""show_item_name"":"""",""show_category_name"":"""",""show_producer_name"":"""",""show_price"":"""",""show_old_price"":"""",""show_author"":"""",""show_hits"":"""",""show_date"":"""",""show_publishdate"":"""",""items_show_attributes"":"""",""items_show_cart_button"":"""",""items_show_intro"":"""",""items_intro_trunc"":"""",""items_intro_length"":"""",""image_link_item"":"""",""showreadmore_item"":"""",""rss_enabled"":"""",""rss_feed_icon"":"""",""rss_limit_items_show"":"""",""rss_items_default_order"":"""",""rss_items_default_order_dir"":"""",""rss_description_type"":"""",""rss_image_link_item"":"""",""rss_showreadmore_item"":"""",""show_image_item"":"""",""show_category_name_item"":"""",""show_producer_name_item"":"""",""show_price_item"":"""",""show_old_price_item"":"""",""show_author_item"":"""",""show_hits_item"":"""",""show_date_item"":"""",""show_publishdate_item"":"""",""items_show_cart_button_item"":"""",""show_intro_desc_item"":"""",""show_navigation"":"""",""related_items_columns"":"""",""related_items_count"":""""}",,"0000-00-00 00:00:00","2015-04-24 08:14:00",584,
8,"BRAKE SYSTEM",brake-system,,,,,,1,3,"{""theme"":"""",""theme_responsive"":"""",""show_contact_form"":"""",""contact_list"":"""",""price_restrict"":"""",""price_unit"":"""",""thousand_separator"":"""",""decimal_separator"":"""",""decimals"":"""",""unit_side"":"""",""product_catalogue"":"""",""showcatdesc"":"""",""showcatimg"":"""",""showsubcategories"":"""",""showsubcategories_label"":"""",""category_columns"":"""",""category_show_intro"":"""",""category_intro_trunc"":"""",""category_intro_length"":"""",""image_link_subcategory"":"""",""showreadmore_subcategory"":"""",""subcategory_showchildren"":"""",""limit_items_show"":"""",""list_layout"":"""",""show_layout_switch"":"""",""items_columns"":"""",""items_default_order"":"""",""items_default_order_dir"":"""",""items_category_ordering"":"""",""featured_only"":"""",""featured_first"":"""",""show_category_filter"":"""",""category_filter_type"":"""",""show_producer_filter"":"""",""show_price_filter"":"""",""show_search"":"""",""show_atoz_filter"":"""",""atoz_letters"":"""",""atoz_check_available"":"""",""show_category_orderby"":"""",""show_producer_orderby"":"""",""show_name_orderby"":"""",""show_price_orderby"":"""",""show_date_orderby"":"""",""show_item_name"":"""",""show_category_name"":"""",""show_producer_name"":"""",""show_price"":"""",""show_old_price"":"""",""show_author"":"""",""show_hits"":"""",""show_date"":"""",""show_publishdate"":"""",""items_show_attributes"":"""",""items_show_cart_button"":"""",""items_show_intro"":"""",""items_intro_trunc"":"""",""items_intro_length"":"""",""image_link_item"":"""",""showreadmore_item"":"""",""rss_enabled"":"""",""rss_feed_icon"":"""",""rss_limit_items_show"":"""",""rss_items_default_order"":"""",""rss_items_default_order_dir"":"""",""rss_description_type"":"""",""rss_image_link_item"":"""",""rss_showreadmore_item"":"""",""show_image_item"":"""",""show_category_name_item"":"""",""show_producer_name_item"":"""",""show_price_item"":"""",""show_old_price_item"":"""",""show_author_item"":"""",""show_hits_item"":"""",""show_date_item"":"""",""show_publishdate_item"":"""",""items_show_cart_button_item"":"""",""show_intro_desc_item"":"""",""show_navigation"":"""",""related_items_columns"":"""",""related_items_count"":""""}",,"0000-00-00 00:00:00","2015-04-24 08:14:00",584,
14,"OUTER & INNER CABLE",outer-inner-cable,,8,,,,1,1,"{""theme"":"""",""theme_responsive"":"""",""show_contact_form"":"""",""contact_list"":"""",""price_restrict"":"""",""price_unit"":"""",""thousand_separator"":"""",""decimal_separator"":"""",""decimals"":"""",""unit_side"":"""",""product_catalogue"":"""",""showcatdesc"":"""",""showcatimg"":"""",""showsubcategories"":"""",""showsubcategories_label"":"""",""category_columns"":"""",""category_show_intro"":"""",""category_intro_trunc"":"""",""category_intro_length"":"""",""image_link_subcategory"":"""",""showreadmore_subcategory"":"""",""subcategory_showchildren"":"""",""limit_items_show"":"""",""list_layout"":"""",""show_layout_switch"":"""",""items_columns"":"""",""items_default_order"":"""",""items_default_order_dir"":"""",""items_category_ordering"":"""",""featured_only"":"""",""featured_first"":"""",""show_category_filter"":"""",""category_filter_type"":"""",""show_producer_filter"":"""",""show_price_filter"":"""",""show_search"":"""",""show_atoz_filter"":"""",""atoz_letters"":"""",""atoz_check_available"":"""",""show_category_orderby"":"""",""show_producer_orderby"":"""",""show_name_orderby"":"""",""show_price_orderby"":"""",""show_date_orderby"":"""",""show_item_name"":"""",""show_category_name"":"""",""show_producer_name"":"""",""show_price"":"""",""show_old_price"":"""",""show_author"":"""",""show_hits"":"""",""show_date"":"""",""show_publishdate"":"""",""items_show_attributes"":"""",""items_show_cart_button"":"""",""items_show_intro"":"""",""items_intro_trunc"":"""",""items_intro_length"":"""",""image_link_item"":"""",""showreadmore_item"":"""",""rss_enabled"":"""",""rss_feed_icon"":"""",""rss_limit_items_show"":"""",""rss_items_default_order"":"""",""rss_items_default_order_dir"":"""",""rss_description_type"":"""",""rss_image_link_item"":"""",""rss_showreadmore_item"":"""",""show_image_item"":"""",""show_category_name_item"":"""",""show_producer_name_item"":"""",""show_price_item"":"""",""show_old_price_item"":"""",""show_author_item"":"""",""show_hits_item"":"""",""show_date_item"":"""",""show_publishdate_item"":"""",""items_show_cart_button_item"":"""",""show_intro_desc_item"":"""",""show_navigation"":"""",""related_items_columns"":"""",""related_items_count"":""""}",,"0000-00-00 00:00:00","2015-04-24 08:14:00",584,
15,"BRAKE SHOES",brake-shoes,,8,,,,1,2,"{""theme"":"""",""theme_responsive"":"""",""show_contact_form"":"""",""contact_list"":"""",""price_restrict"":"""",""price_unit"":"""",""thousand_separator"":"""",""decimal_separator"":"""",""decimals"":"""",""unit_side"":"""",""product_catalogue"":"""",""showcatdesc"":"""",""showcatimg"":"""",""showsubcategories"":"""",""showsubcategories_label"":"""",""category_columns"":"""",""category_show_intro"":"""",""category_intro_trunc"":"""",""category_intro_length"":"""",""image_link_subcategory"":"""",""showreadmore_subcategory"":"""",""subcategory_showchildren"":"""",""limit_items_show"":"""",""list_layout"":"""",""show_layout_switch"":"""",""items_columns"":"""",""items_default_order"":"""",""items_default_order_dir"":"""",""items_category_ordering"":"""",""featured_only"":"""",""featured_first"":"""",""show_category_filter"":"""",""category_filter_type"":"""",""show_producer_filter"":"""",""show_price_filter"":"""",""show_search"":"""",""show_atoz_filter"":"""",""atoz_letters"":"""",""atoz_check_available"":"""",""show_category_orderby"":"""",""show_producer_orderby"":"""",""show_name_orderby"":"""",""show_price_orderby"":"""",""show_date_orderby"":"""",""show_item_name"":"""",""show_category_name"":"""",""show_producer_name"":"""",""show_price"":"""",""show_old_price"":"""",""show_author"":"""",""show_hits"":"""",""show_date"":"""",""show_publishdate"":"""",""items_show_attributes"":"""",""items_show_cart_button"":"""",""items_show_intro"":"""",""items_intro_trunc"":"""",""items_intro_length"":"""",""image_link_item"":"""",""showreadmore_item"":"""",""rss_enabled"":"""",""rss_feed_icon"":"""",""rss_limit_items_show"":"""",""rss_items_default_order"":"""",""rss_items_default_order_dir"":"""",""rss_description_type"":"""",""rss_image_link_item"":"""",""rss_showreadmore_item"":"""",""show_image_item"":"""",""show_category_name_item"":"""",""show_producer_name_item"":"""",""show_price_item"":"""",""show_old_price_item"":"""",""show_author_item"":"""",""show_hits_item"":"""",""show_date_item"":"""",""show_publishdate_item"":"""",""items_show_cart_button_item"":"""",""show_intro_desc_item"":"""",""show_navigation"":"""",""related_items_columns"":"""",""related_items_count"":""""}",,"0000-00-00 00:00:00","2015-04-24 08:14:00",584,
16,"DISC PADS",disc-pads,,8,,,,1,3,"{""theme"":"""",""theme_responsive"":"""",""show_contact_form"":"""",""contact_list"":"""",""price_restrict"":"""",""price_unit"":"""",""thousand_separator"":"""",""decimal_separator"":"""",""decimals"":"""",""unit_side"":"""",""product_catalogue"":"""",""showcatdesc"":"""",""showcatimg"":"""",""showsubcategories"":"""",""showsubcategories_label"":"""",""category_columns"":"""",""category_show_intro"":"""",""category_intro_trunc"":"""",""category_intro_length"":"""",""image_link_subcategory"":"""",""showreadmore_subcategory"":"""",""subcategory_showchildren"":"""",""limit_items_show"":"""",""list_layout"":"""",""show_layout_switch"":"""",""items_columns"":"""",""items_default_order"":"""",""items_default_order_dir"":"""",""items_category_ordering"":"""",""featured_only"":"""",""featured_first"":"""",""show_category_filter"":"""",""category_filter_type"":"""",""show_producer_filter"":"""",""show_price_filter"":"""",""show_search"":"""",""show_atoz_filter"":"""",""atoz_letters"":"""",""atoz_check_available"":"""",""show_category_orderby"":"""",""show_producer_orderby"":"""",""show_name_orderby"":"""",""show_price_orderby"":"""",""show_date_orderby"":"""",""show_item_name"":"""",""show_category_name"":"""",""show_producer_name"":"""",""show_price"":"""",""show_old_price"":"""",""show_author"":"""",""show_hits"":"""",""show_date"":"""",""show_publishdate"":"""",""items_show_attributes"":"""",""items_show_cart_button"":"""",""items_show_intro"":"""",""items_intro_trunc"":"""",""items_intro_length"":"""",""image_link_item"":"""",""showreadmore_item"":"""",""rss_enabled"":"""",""rss_feed_icon"":"""",""rss_limit_items_show"":"""",""rss_items_default_order"":"""",""rss_items_default_order_dir"":"""",""rss_description_type"":"""",""rss_image_link_item"":"""",""rss_showreadmore_item"":"""",""show_image_item"":"""",""show_category_name_item"":"""",""show_producer_name_item"":"""",""show_price_item"":"""",""show_old_price_item"":"""",""show_author_item"":"""",""show_hits_item"":"""",""show_date_item"":"""",""show_publishdate_item"":"""",""items_show_cart_button_item"":"""",""show_intro_desc_item"":"""",""show_navigation"":"""",""related_items_columns"":"""",""related_items_count"":""""}",,"0000-00-00 00:00:00","2015-04-24 08:14:00",584,
17,"BRAKE PARTS",brake-arts,,8,,,,1,4,"{""theme"":"""",""theme_responsive"":"""",""show_contact_form"":"""",""contact_list"":"""",""price_restrict"":"""",""price_unit"":"""",""thousand_separator"":"""",""decimal_separator"":"""",""decimals"":"""",""unit_side"":"""",""product_catalogue"":"""",""showcatdesc"":"""",""showcatimg"":"""",""showsubcategories"":"""",""showsubcategories_label"":"""",""category_columns"":"""",""category_show_intro"":"""",""category_intro_trunc"":"""",""category_intro_length"":"""",""image_link_subcategory"":"""",""showreadmore_subcategory"":"""",""subcategory_showchildren"":"""",""limit_items_show"":"""",""list_layout"":"""",""show_layout_switch"":"""",""items_columns"":"""",""items_default_order"":"""",""items_default_order_dir"":"""",""items_category_ordering"":"""",""featured_only"":"""",""featured_first"":"""",""show_category_filter"":"""",""category_filter_type"":"""",""show_producer_filter"":"""",""show_price_filter"":"""",""show_search"":"""",""show_atoz_filter"":"""",""atoz_letters"":"""",""atoz_check_available"":"""",""show_category_orderby"":"""",""show_producer_orderby"":"""",""show_name_orderby"":"""",""show_price_orderby"":"""",""show_date_orderby"":"""",""show_item_name"":"""",""show_category_name"":"""",""show_producer_name"":"""",""show_price"":"""",""show_old_price"":"""",""show_author"":"""",""show_hits"":"""",""show_date"":"""",""show_publishdate"":"""",""items_show_attributes"":"""",""items_show_cart_button"":"""",""items_show_intro"":"""",""items_intro_trunc"":"""",""items_intro_length"":"""",""image_link_item"":"""",""showreadmore_item"":"""",""rss_enabled"":"""",""rss_feed_icon"":"""",""rss_limit_items_show"":"""",""rss_items_default_order"":"""",""rss_items_default_order_dir"":"""",""rss_description_type"":"""",""rss_image_link_item"":"""",""rss_showreadmore_item"":"""",""show_image_item"":"""",""show_category_name_item"":"""",""show_producer_name_item"":"""",""show_price_item"":"""",""show_old_price_item"":"""",""show_author_item"":"""",""show_hits_item"":"""",""show_date_item"":"""",""show_publishdate_item"":"""",""items_show_cart_button_item"":"""",""show_intro_desc_item"":"""",""show_navigation"":"""",""related_items_columns"":"""",""related_items_count"":""""}",,"0000-00-00 00:00:00","2015-04-24 08:14:00",584,
9,TOOLS,tools,,,,,,1,4,"{""theme"":"""",""theme_responsive"":"""",""show_contact_form"":"""",""contact_list"":"""",""price_restrict"":"""",""price_unit"":"""",""thousand_separator"":"""",""decimal_separator"":"""",""decimals"":"""",""unit_side"":"""",""product_catalogue"":"""",""showcatdesc"":"""",""showcatimg"":"""",""showsubcategories"":"""",""showsubcategories_label"":"""",""category_columns"":"""",""category_show_intro"":"""",""category_intro_trunc"":"""",""category_intro_length"":"""",""image_link_subcategory"":"""",""showreadmore_subcategory"":"""",""subcategory_showchildren"":"""",""limit_items_show"":"""",""list_layout"":"""",""show_layout_switch"":"""",""items_columns"":"""",""items_default_order"":"""",""items_default_order_dir"":"""",""items_category_ordering"":"""",""featured_only"":"""",""featured_first"":"""",""show_category_filter"":"""",""category_filter_type"":"""",""show_producer_filter"":"""",""show_price_filter"":"""",""show_search"":"""",""show_atoz_filter"":"""",""atoz_letters"":"""",""atoz_check_available"":"""",""show_category_orderby"":"""",""show_producer_orderby"":"""",""show_name_orderby"":"""",""show_price_orderby"":"""",""show_date_orderby"":"""",""show_item_name"":"""",""show_category_name"":"""",""show_producer_name"":"""",""show_price"":"""",""show_old_price"":"""",""show_author"":"""",""show_hits"":"""",""show_date"":"""",""show_publishdate"":"""",""items_show_attributes"":"""",""items_show_cart_button"":"""",""items_show_intro"":"""",""items_intro_trunc"":"""",""items_intro_length"":"""",""image_link_item"":"""",""showreadmore_item"":"""",""rss_enabled"":"""",""rss_feed_icon"":"""",""rss_limit_items_show"":"""",""rss_items_default_order"":"""",""rss_items_default_order_dir"":"""",""rss_description_type"":"""",""rss_image_link_item"":"""",""rss_showreadmore_item"":"""",""show_image_item"":"""",""show_category_name_item"":"""",""show_producer_name_item"":"""",""show_price_item"":"""",""show_old_price_item"":"""",""show_author_item"":"""",""show_hits_item"":"""",""show_date_item"":"""",""show_publishdate_item"":"""",""items_show_cart_button_item"":"""",""show_intro_desc_item"":"""",""show_navigation"":"""",""related_items_columns"":"""",""related_items_count"":""""}",,"0000-00-00 00:00:00","2015-04-24 08:14:00",584,
10,"COMPLETE BICYCLES",complete-bicycles,,,,,,1,5,"{""theme"":"""",""theme_responsive"":"""",""show_contact_form"":"""",""contact_list"":"""",""price_restrict"":"""",""price_unit"":"""",""thousand_separator"":"""",""decimal_separator"":"""",""decimals"":"""",""unit_side"":"""",""product_catalogue"":"""",""showcatdesc"":"""",""showcatimg"":"""",""showsubcategories"":"""",""showsubcategories_label"":"""",""category_columns"":"""",""category_show_intro"":"""",""category_intro_trunc"":"""",""category_intro_length"":"""",""image_link_subcategory"":"""",""showreadmore_subcategory"":"""",""subcategory_showchildren"":"""",""limit_items_show"":"""",""list_layout"":"""",""show_layout_switch"":"""",""items_columns"":"""",""items_default_order"":"""",""items_default_order_dir"":"""",""items_category_ordering"":"""",""featured_only"":"""",""featured_first"":"""",""show_category_filter"":"""",""category_filter_type"":"""",""show_producer_filter"":"""",""show_price_filter"":"""",""show_search"":"""",""show_atoz_filter"":"""",""atoz_letters"":"""",""atoz_check_available"":"""",""show_category_orderby"":"""",""show_producer_orderby"":"""",""show_name_orderby"":"""",""show_price_orderby"":"""",""show_date_orderby"":"""",""show_item_name"":"""",""show_category_name"":"""",""show_producer_name"":"""",""show_price"":"""",""show_old_price"":"""",""show_author"":"""",""show_hits"":"""",""show_date"":"""",""show_publishdate"":"""",""items_show_attributes"":"""",""items_show_cart_button"":"""",""items_show_intro"":"""",""items_intro_trunc"":"""",""items_intro_length"":"""",""image_link_item"":"""",""showreadmore_item"":"""",""rss_enabled"":"""",""rss_feed_icon"":"""",""rss_limit_items_show"":"""",""rss_items_default_order"":"""",""rss_items_default_order_dir"":"""",""rss_description_type"":"""",""rss_image_link_item"":"""",""rss_showreadmore_item"":"""",""show_image_item"":"""",""show_category_name_item"":"""",""show_producer_name_item"":"""",""show_price_item"":"""",""show_old_price_item"":"""",""show_author_item"":"""",""show_hits_item"":"""",""show_date_item"":"""",""show_publishdate_item"":"""",""items_show_cart_button_item"":"""",""show_intro_desc_item"":"""",""show_navigation"":"""",""related_items_columns"":"""",""related_items_count"":""""}",,"0000-00-00 00:00:00","2015-04-24 08:14:00",584,
18,"LADY OR CITY BIKE",lady-or-city-bike,,10,,,,1,1,"{""theme"":"""",""theme_responsive"":"""",""show_contact_form"":"""",""contact_list"":"""",""price_restrict"":"""",""price_unit"":"""",""thousand_separator"":"""",""decimal_separator"":"""",""decimals"":"""",""unit_side"":"""",""product_catalogue"":"""",""showcatdesc"":"""",""showcatimg"":"""",""showsubcategories"":"""",""showsubcategories_label"":"""",""category_columns"":"""",""category_show_intro"":"""",""category_intro_trunc"":"""",""category_intro_length"":"""",""image_link_subcategory"":"""",""showreadmore_subcategory"":"""",""subcategory_showchildren"":"""",""limit_items_show"":"""",""list_layout"":"""",""show_layout_switch"":"""",""items_columns"":"""",""items_default_order"":"""",""items_default_order_dir"":"""",""items_category_ordering"":"""",""featured_only"":"""",""featured_first"":"""",""show_category_filter"":"""",""category_filter_type"":"""",""show_producer_filter"":"""",""show_price_filter"":"""",""show_search"":"""",""show_atoz_filter"":"""",""atoz_letters"":"""",""atoz_check_available"":"""",""show_category_orderby"":"""",""show_producer_orderby"":"""",""show_name_orderby"":"""",""show_price_orderby"":"""",""show_date_orderby"":"""",""show_item_name"":"""",""show_category_name"":"""",""show_producer_name"":"""",""show_price"":"""",""show_old_price"":"""",""show_author"":"""",""show_hits"":"""",""show_date"":"""",""show_publishdate"":"""",""items_show_attributes"":"""",""items_show_cart_button"":"""",""items_show_intro"":"""",""items_intro_trunc"":"""",""items_intro_length"":"""",""image_link_item"":"""",""showreadmore_item"":"""",""rss_enabled"":"""",""rss_feed_icon"":"""",""rss_limit_items_show"":"""",""rss_items_default_order"":"""",""rss_items_default_order_dir"":"""",""rss_description_type"":"""",""rss_image_link_item"":"""",""rss_showreadmore_item"":"""",""show_image_item"":"""",""show_category_name_item"":"""",""show_producer_name_item"":"""",""show_price_item"":"""",""show_old_price_item"":"""",""show_author_item"":"""",""show_hits_item"":"""",""show_date_item"":"""",""show_publishdate_item"":"""",""items_show_cart_button_item"":"""",""show_intro_desc_item"":"""",""show_navigation"":"""",""related_items_columns"":"""",""related_items_count"":""""}",,"0000-00-00 00:00:00","2015-04-24 08:18:16",584,
