id,group_id,cat_id,producer_id,name,alias,language,description,intro_desc,price,special_price,tax_rate_id,available,metatitle,metakey,metadesc,published,ordering,featured,hits,params,checked_out,checked_out_time,created,created_by,publish_up,publish_down,category_name,producer_name,author
94,,27,,2P-COLOR,en-2p-color,,"<p>SAPIENCE HIGH QUALITY OUTER CABLE </p>
<p> </p>
<p>*SAPIENCE BRAKE OUTER CABLE: 5mm. </p>
<p>*SAPIENCE DERAILLEUR OUTER CABLE: 4mm. </p>
<p> </p>
<p>EXCELLENT QUALITY WITH COLORFUL OPTION. </p>
<p>EN STANDARD. </p>
<p> </p>
<p>AM PACKING:50M/BOX OR 30M/BOX </p>
<p> </p>
<p>OEM PACKING:500M/ROLL </p>
<p> </p>
<p> </p>
<p>OTHER ADVANCED OPTION: KEVLAR YARN </p>
<p>DOUBLR ENTWINED KEVLAR </p>
<p>SILICONE OIL INJECTION </p>",,0.00,0.00,,1,,,,1,3,,,"{""show_contact_form"":"""",""comments"":"""",""price_restrict"":"""",""show_image_item"":"""",""show_category_name_item"":"""",""show_producer_name_item"":"""",""show_price_item"":"""",""show_old_price_item"":"""",""show_author_item"":"""",""show_hits_item"":"""",""show_date_item"":"""",""show_publishdate_item"":"""",""items_show_cart_button_item"":"""",""show_intro_desc_item"":"""",""show_navigation"":"""",""related_items_columns"":"""",""related_items_count"":""""}",,"0000-00-00 00:00:00","2015-04-24 08:21:28",584,"0000-00-00 00:00:00","0000-00-00 00:00:00","OUTER & INNER CABLE",,
147,,30,,2P-CUP,en-2p-cup,,,,0.00,0.00,,1,,,,1,2,,,"{""show_contact_form"":"""",""comments"":"""",""price_restrict"":"""",""show_image_item"":"""",""show_category_name_item"":"""",""show_producer_name_item"":"""",""show_price_item"":"""",""show_old_price_item"":"""",""show_author_item"":"""",""show_hits_item"":"""",""show_date_item"":"""",""show_publishdate_item"":"""",""items_show_cart_button_item"":"""",""show_intro_desc_item"":"""",""show_navigation"":"""",""related_items_columns"":"""",""related_items_count"":""""}",,"0000-00-00 00:00:00","2015-06-08 15:13:15",586,"0000-00-00 00:00:00","0000-00-00 00:00:00","BRAKE PARTS",,
302,,30,,2P-CUP-PLASTIC-4MM,en-2p-cup-plastic-4mm,,,,0.00,0.00,,1,,,,1,3,,,"{""show_contact_form"":"""",""comments"":"""",""price_restrict"":"""",""show_image_item"":"""",""show_category_name_item"":"""",""show_producer_name_item"":"""",""show_price_item"":"""",""show_old_price_item"":"""",""show_author_item"":"""",""show_hits_item"":"""",""show_date_item"":"""",""show_publishdate_item"":"""",""items_show_cart_button_item"":"""",""show_intro_desc_item"":"""",""show_navigation"":"""",""related_items_columns"":"""",""related_items_count"":""""}",,"0000-00-00 00:00:00","2015-06-15 08:22:45",586,"0000-00-00 00:00:00","0000-00-00 00:00:00","BRAKE PARTS",,
304,,30,,2P-CUP-PLASTIC-4MM-1,2p-cup-plastic-4mm-1,,,,0.00,0.00,,1,,,,1,4,,,"{""show_contact_form"":"""",""comments"":"""",""price_restrict"":"""",""show_image_item"":"""",""show_category_name_item"":"""",""show_producer_name_item"":"""",""show_price_item"":"""",""show_old_price_item"":"""",""show_author_item"":"""",""show_hits_item"":"""",""show_date_item"":"""",""show_publishdate_item"":"""",""items_show_cart_button_item"":"""",""show_intro_desc_item"":"""",""show_navigation"":"""",""related_items_columns"":"""",""related_items_count"":""""}",,"0000-00-00 00:00:00","2015-06-15 08:25:04",586,"0000-00-00 00:00:00","0000-00-00 00:00:00","BRAKE PARTS",,
306,,30,,2P-CUP-PLASTIC-5MM,2p-cup-plastic-5mm,,,,0.00,0.00,,1,,,,1,5,,,"{""show_contact_form"":"""",""comments"":"""",""price_restrict"":"""",""show_image_item"":"""",""show_category_name_item"":"""",""show_producer_name_item"":"""",""show_price_item"":"""",""show_old_price_item"":"""",""show_author_item"":"""",""show_hits_item"":"""",""show_date_item"":"""",""show_publishdate_item"":"""",""items_show_cart_button_item"":"""",""show_intro_desc_item"":"""",""show_navigation"":"""",""related_items_columns"":"""",""related_items_count"":""""}",,"0000-00-00 00:00:00","2015-06-15 08:27:27",586,"0000-00-00 00:00:00","0000-00-00 00:00:00","BRAKE PARTS",,
92,,27,,2P-END,en-2p-end,,"<p>SAPIENCE COLORFUL INNER CABLE END CAP. </p>
<p>COLOR OPTION: BLUE / PINK / ORANGE / RED / SILVER / GREEN / BLACK / PURPLE / GOLDEN </p>
<p>SAPIENCE AFTER MARKET PACKING. 500PCS/BOTTLE. </p>",,0.00,0.00,,1,,,,1,1,,2,"{""show_contact_form"":"""",""comments"":"""",""price_restrict"":"""",""show_image_item"":"""",""show_category_name_item"":"""",""show_producer_name_item"":"""",""show_price_item"":"""",""show_old_price_item"":"""",""show_author_item"":"""",""show_hits_item"":"""",""show_date_item"":"""",""show_publishdate_item"":"""",""items_show_cart_button_item"":"""",""show_intro_desc_item"":"""",""show_navigation"":"""",""related_items_columns"":"""",""related_items_count"":""""}",586,"2015-06-10 05:59:45","2015-04-24 08:21:28",584,"0000-00-00 00:00:00","0000-00-00 00:00:00","OUTER & INNER CABLE",,sapience
92,,27,,2P-END,en-2p-end,,"<p>SAPIENCE COLORFUL INNER CABLE END CAP. </p>
<p>COLOR OPTION: BLUE / PINK / ORANGE / RED / SILVER / GREEN / BLACK / PURPLE / GOLDEN </p>
<p>SAPIENCE AFTER MARKET PACKING. 500PCS/BOTTLE. </p>",,0.00,0.00,,1,,,,1,1,,2,"{""show_contact_form"":"""",""comments"":"""",""price_restrict"":"""",""show_image_item"":"""",""show_category_name_item"":"""",""show_producer_name_item"":"""",""show_price_item"":"""",""show_old_price_item"":"""",""show_author_item"":"""",""show_hits_item"":"""",""show_date_item"":"""",""show_publishdate_item"":"""",""items_show_cart_button_item"":"""",""show_intro_desc_item"":"""",""show_navigation"":"""",""related_items_columns"":"""",""related_items_count"":""""}",586,"2015-06-10 05:59:45","2015-04-24 08:21:28",584,"0000-00-00 00:00:00","0000-00-00 00:00:00","OUTER & INNER CABLE",,sapience
308,,30,,2P-END-PLASTIC,en-2p-end-plastic,,,,0.00,0.00,,1,,,,1,6,,,"{""show_contact_form"":"""",""comments"":"""",""price_restrict"":"""",""show_image_item"":"""",""show_category_name_item"":"""",""show_producer_name_item"":"""",""show_price_item"":"""",""show_old_price_item"":"""",""show_author_item"":"""",""show_hits_item"":"""",""show_date_item"":"""",""show_publishdate_item"":"""",""items_show_cart_button_item"":"""",""show_intro_desc_item"":"""",""show_navigation"":"""",""related_items_columns"":"""",""related_items_count"":""""}",,"0000-00-00 00:00:00","2015-06-15 08:39:16",586,"0000-00-00 00:00:00","0000-00-00 00:00:00","BRAKE PARTS",,
310,,30,,2P-END-SHEATH,en-2p-ed-sheath,,,,0.00,0.00,,1,,,,1,7,,1,"{""show_contact_form"":"""",""comments"":"""",""price_restrict"":"""",""show_image_item"":"""",""show_category_name_item"":"""",""show_producer_name_item"":"""",""show_price_item"":"""",""show_old_price_item"":"""",""show_author_item"":"""",""show_hits_item"":"""",""show_date_item"":"""",""show_publishdate_item"":"""",""items_show_cart_button_item"":"""",""show_intro_desc_item"":"""",""show_navigation"":"""",""related_items_columns"":"""",""related_items_count"":""""}",586,"2015-06-30 02:28:48","2015-06-15 08:41:52",586,"0000-00-00 00:00:00","0000-00-00 00:00:00","BRAKE PARTS",,sapience
310,,30,,2P-END-SHEATH,en-2p-ed-sheath,,,,0.00,0.00,,1,,,,1,7,,1,"{""show_contact_form"":"""",""comments"":"""",""price_restrict"":"""",""show_image_item"":"""",""show_category_name_item"":"""",""show_producer_name_item"":"""",""show_price_item"":"""",""show_old_price_item"":"""",""show_author_item"":"""",""show_hits_item"":"""",""show_date_item"":"""",""show_publishdate_item"":"""",""items_show_cart_button_item"":"""",""show_intro_desc_item"":"""",""show_navigation"":"""",""related_items_columns"":"""",""related_items_count"":""""}",586,"2015-06-30 02:28:48","2015-06-15 08:41:52",586,"0000-00-00 00:00:00","0000-00-00 00:00:00","BRAKE PARTS",,sapience
145,,30,,2P-GUIDE,en-2p-guide,,,,0.00,0.00,,1,,,,1,1,,,"{""show_contact_form"":"""",""comments"":"""",""price_restrict"":"""",""show_image_item"":"""",""show_category_name_item"":"""",""show_producer_name_item"":"""",""show_price_item"":"""",""show_old_price_item"":"""",""show_author_item"":"""",""show_hits_item"":"""",""show_date_item"":"""",""show_publishdate_item"":"""",""items_show_cart_button_item"":"""",""show_intro_desc_item"":"""",""show_navigation"":"""",""related_items_columns"":"""",""related_items_count"":""""}",,"0000-00-00 00:00:00","2015-06-08 15:10:32",586,"0000-00-00 00:00:00","0000-00-00 00:00:00","BRAKE PARTS",,
93,,27,,2P-NI,en-2p-ni,,"<p>SAPIENCE PROFESSIONAL NANOMETER TEFLON INNER CABLE. </p>
<p>2P-NI-PROFESSIONAL-MTB BRAKE INNER CABLE FOR MTB. 1.5mmX1700mm. </p>
<p>2P-NI-PROFESSIONAL-RACE BRAKE INNER CABLE FOR RACEING BIKE. 1.5mmX1700mm. </p>
<p>SP-NI-PROFESSIONAL DERAILLEUR INNER CABLE. 1.1mmX2100mm. </p>
<p> </p>
<p>SLICK STAINLESS. </p>
<p>NANOMETER TEFLON PROCESSING. </p>
<p>MAKE BRAKE and DERAILLEUR SYSTEM VERY SMOOTH. </p>
<p>COLOR OPTION: BLUE / PINK / ORANGE / RED / WHITE / GREEN / YELLOW </p>
<p>SAPIENCE AFTER MARKET PACKING. (1PCS IN HANG CARD)</p>",,0.00,0.00,,1,,,,1,2,,,"{""show_contact_form"":"""",""comments"":"""",""price_restrict"":"""",""show_image_item"":"""",""show_category_name_item"":"""",""show_producer_name_item"":"""",""show_price_item"":"""",""show_old_price_item"":"""",""show_author_item"":"""",""show_hits_item"":"""",""show_date_item"":"""",""show_publishdate_item"":"""",""items_show_cart_button_item"":"""",""show_intro_desc_item"":"""",""show_navigation"":"""",""related_items_columns"":"""",""related_items_count"":""""}",,"0000-00-00 00:00:00","2015-04-24 08:21:28",584,"0000-00-00 00:00:00","0000-00-00 00:00:00","OUTER & INNER CABLE",,
101,,34,,B-112-24S-42T,en-b-112-24s-42t,,"<p>20""MINI VELO</p>",,0.00,0.00,,1,,,,1,1,,,"{""show_contact_form"":"""",""comments"":"""",""price_restrict"":"""",""show_image_item"":"""",""show_category_name_item"":"""",""show_producer_name_item"":"""",""show_price_item"":"""",""show_old_price_item"":"""",""show_author_item"":"""",""show_hits_item"":"""",""show_date_item"":"""",""show_publishdate_item"":"""",""items_show_cart_button_item"":"""",""show_intro_desc_item"":"""",""show_navigation"":"""",""related_items_columns"":"""",""related_items_count"":""""}",,"0000-00-00 00:00:00","2015-04-24 08:21:28",584,"0000-00-00 00:00:00","0000-00-00 00:00:00","MINI VELO",,
115,,31,,DT-030,en-dt-030,,,,0.00,0.00,,1,,,,1,1,,1,"{""show_contact_form"":"""",""comments"":"""",""price_restrict"":"""",""show_image_item"":"""",""show_category_name_item"":"""",""show_producer_name_item"":"""",""show_price_item"":"""",""show_old_price_item"":"""",""show_author_item"":"""",""show_hits_item"":"""",""show_date_item"":"""",""show_publishdate_item"":"""",""items_show_cart_button_item"":"""",""show_intro_desc_item"":"""",""show_navigation"":"""",""related_items_columns"":"""",""related_items_count"":""""}",,"0000-00-00 00:00:00","2015-06-08 03:27:05",586,"0000-00-00 00:00:00","0000-00-00 00:00:00",TOOLS,,
316,,31,,DT-031,en-dt-31,,,,0.00,0.00,,1,,,,1,8,,,"{""show_contact_form"":"""",""comments"":"""",""price_restrict"":"""",""show_image_item"":"""",""show_category_name_item"":"""",""show_producer_name_item"":"""",""show_price_item"":"""",""show_old_price_item"":"""",""show_author_item"":"""",""show_hits_item"":"""",""show_date_item"":"""",""show_publishdate_item"":"""",""items_show_cart_button_item"":"""",""show_intro_desc_item"":"""",""show_navigation"":"""",""related_items_columns"":"""",""related_items_count"":""""}",,"0000-00-00 00:00:00","2015-06-15 08:58:49",586,"0000-00-00 00:00:00","0000-00-00 00:00:00",TOOLS,,
314,,31,,DT-032,en-dt-032,,,,0.00,0.00,,1,,,,1,7,,1,"{""show_contact_form"":"""",""comments"":"""",""price_restrict"":"""",""show_image_item"":"""",""show_category_name_item"":"""",""show_producer_name_item"":"""",""show_price_item"":"""",""show_old_price_item"":"""",""show_author_item"":"""",""show_hits_item"":"""",""show_date_item"":"""",""show_publishdate_item"":"""",""items_show_cart_button_item"":"""",""show_intro_desc_item"":"""",""show_navigation"":"""",""related_items_columns"":"""",""related_items_count"":""""}",,"0000-00-00 00:00:00","2015-06-15 08:57:21",586,"0000-00-00 00:00:00","0000-00-00 00:00:00",TOOLS,,
312,,31,,DT-033,en-dt-033,,,,0.00,0.00,,1,,,,1,6,,,"{""show_contact_form"":"""",""comments"":"""",""price_restrict"":"""",""show_image_item"":"""",""show_category_name_item"":"""",""show_producer_name_item"":"""",""show_price_item"":"""",""show_old_price_item"":"""",""show_author_item"":"""",""show_hits_item"":"""",""show_date_item"":"""",""show_publishdate_item"":"""",""items_show_cart_button_item"":"""",""show_intro_desc_item"":"""",""show_navigation"":"""",""related_items_columns"":"""",""related_items_count"":""""}",,"0000-00-00 00:00:00","2015-06-15 08:54:54",586,"0000-00-00 00:00:00","0000-00-00 00:00:00",TOOLS,,
